Comment,Designator,Footprint,LCSC Part #
100 nF Unpolarized capacitor,"C201,C202,C301,C302,C401",C_0402_1005Metric,C1525
LED Light emitting diode,D101,LED_Kingbright_APA1606_1.6x0.6mm_Horizontal,C3034753
220 Resistor,R101,R_0402_1005Metric,C25091
4.7k Resistor,"R201,R202,R203,R401,R402,R403",R_0402_1005Metric,C25900
XIAO ESP32 C3 ,U1,DIP-14_600_ELL,C19189385
BMI323 ,U2,BMI323_BOS,C5368700
MLX90393ELW-ABA-011-RE,U3,QFN-16-1EP_3x3mm_P0.5mm_EP1.675x1.675mm,C2654971
W25N01GVZEIG ,U4,WSON-8_8X6_WIN,C907680
